id;id_researcher;bibcode;years;citations;reads
1;6.0;2022ApJS..259...35A;{'2021', '2022', '2023', '2024'};{1, 83, 232, 73};{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 252, 3298, 2431, 389}
2;6.0;2023ApJS..267...44A;{'2023', '2024'};{15, 12};{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2298, 508}
3;6.0;2020ApJS..249....3A;{'2019', '2020', '2021', '2022', '2023', '2024'};{0, 83, 207, 256, 240, 40};{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 175, 1905, 1242, 1140, 960, 153}
4;6.0;2017AJ....154...28B;{'2017', '2018', '2019', '2020', '2021', '2022', '2023', '2024'};{26, 106, 163, 180, 195, 223, 179, 44};{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1462, 1139, 867, 1115, 848, 878, 578, 91}
5;6.0;2018ApJS..235...42A;{'2017', '2018', '2019', '2020', '2021', '2022', '2023', '2024'};{3, 128, 244, 165, 127, 84, 72, 10};{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 683, 1766, 897, 744, 472, 411, 332, 40}
6;6.0;2022ApJ...940L...7W;{'2023', '2024'};{11, 4};{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 397, 645, 56}
7;6.0;2023ApJ...955...92V;{'2023', '2024'};{7, 1};{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 528, 68}
8;6.0;2019AJ....158..231W;{'2019', '2020', '2021', '2022', '2023', '2024'};{21, 38, 50, 57, 47, 19};{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 390, 567, 395, 448, 433, 62}
9;6.0;2017ApJS..233...25A;{'2016', '2017', '2018', '2019', '2020', '2021', '2022', '2023', '2024'};{5, 95, 120, 68, 66, 55, 47, 61, 11};{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 791, 1465, 1035, 485, 499, 253, 323, 293, 44}
10;6.0;2023ApJ...953...56V;{'2023', '2024'};{4, 2};{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 453, 40}
11;6.0;2016RMxAA..52..171S;{'2016', '2017', '2018', '2019', '2020', '2021', '2022', '2023', '2024'};{5, 14, 23, 42, 31, 36, 36, 30, 10};{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 398, 379, 377, 364, 419, 398, 371, 337, 63}
12;6.0;2018RMxAA..54..217S;{'2018', '2019', '2020', '2021', '2022', '2023', '2024'};{11, 28, 36, 31, 33, 23, 11};{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 189, 542, 404, 431, 393, 370, 301, 54}
13;6.0;2024MNRAS.52710201E;{'2024'};{1};{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 95}
14;6.0;2022ApJS..262...36S;{'2022', '2023', '2024'};{3, 28, 14};{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 320, 390, 60}
15;6.0;2019ApJS..240...23A;{'2019', '2020', '2021', '2022', '2023', '2024'};{36, 89, 71, 58, 41, 7};{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 80, 873, 662, 352, 283, 247, 40}
16;6.0;2024ApJ...960..126V;{'2023', '2024'};{2, 0};{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 210, 93}
17;6.0;2016RMxAA..52...21S;{'2015', '2016', '2017', '2018', '2019', '2020', '2021', '2022', '2023', '2024'};{1, 8, 15, 18, 35, 26, 32, 37, 33, 10};{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 134, 308, 298, 317, 316, 322, 285, 283, 236, 41}
18;6.0;2023ApJ...953L..26R;{'2024'};{0};{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 234, 31}
19;6.0;2014A&A...563A..49S;{'2014', '2015', '2016', '2017', '2018', '2019', '2020', '2021', '2022', '2023', '2024'};{14, 39, 47, 42, 40, 45, 34, 39, 41, 24, 8};{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 133, 694, 478, 359, 286, 229, 190, 223, 170, 142, 131, 26}
20;6.0;2017ApJ...846..159B;{'2017', '2018', '2019', '2020', '2021', '2022', '2023', '2024'};{2, 15, 23, 20, 23, 31, 24, 4};{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 400, 376, 351, 364, 327, 226, 239, 41}
21;6.0;2024A&A...682A..71S;{'2024'};{1};{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 71, 30}
22;6.0;2024arXiv240113181W;{'2024'};{0};{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 56}
23;6.0;2022NewA...9701895L;{'2022', '2023', '2024'};{11, 11, 3};{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 326, 186, 33}
24;6.0;2020AJ....159..167L;{'2020', '2021', '2022', '2023', '2024'};{9, 13, 14, 15, 5};{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 492, 333, 256, 174, 33}
25;6.0;2016A&A...594A..36S;{'2016', '2017', '2018', '2019', '2020', '2021', '2022', '2023', '2024'};{2, 23, 30, 36, 28, 24, 29, 23, 6};{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 489, 430, 289, 264, 258, 192, 155, 142, 26}
26;6.0;2023MNRAS.526.5555S;{'2023', '2024'};{0, 1};{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 205, 47}
27;6.0;2023ApJS..268....3C;{'2023', '2024'};{1, 0};{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 127, 17}
28;6.0;2023RMxAA..59..213B;{'2022', '2023', '2024'};{1, 5, 0};{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 127, 186, 35}
29;6.0;2022MNRAS.514.2298B;{'2023', '2024'};{6, 3};{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 247, 108, 10}
30;6.0;2017A&A...597A..48F;{'2016', '2017', '2018', '2019', '2020', '2021', '2022', '2023', '2024'};{3, 20, 24, 22, 17, 8, 13, 8, 1};{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 203, 431, 287, 218, 185, 117, 147, 131, 23}
31;6.0;2024MNRAS.528.6099L;{'2024'};{0};{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 61}
32;6.0;2014A&A...569A...1W;{'2014', '2015', '2016', '2017', '2018', '2019', '2020', '2021', '2022', '2023', '2024'};{5, 20, 18, 24, 32, 34, 23, 18, 13, 10, 3};{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 333, 418, 377, 239, 255, 228, 158, 134, 99, 98, 19}
33;6.0;2018MNRAS.474.2039E;{'2017', '2018', '2019', '2020', '2021', '2022', '2023', '2024'};{1, 11, 27, 29, 19, 22, 16, 5};{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 168, 500, 226, 218, 180, 120, 147, 16}
34;6.0;2015A&A...576A.135G;{'2015', '2016', '2017', '2018', '2019', '2020', '2021', '2022', '2023', '2024'};{14, 28, 28, 19, 23, 18, 16, 11, 12, 4};{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 205, 622, 380, 209, 184, 211, 174, 107, 112, 105, 20}
35;6.0;2023ApJ...952..122G;{'2024'};{2};{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 131, 13}
36;6.0;2021MNRAS.505L..46E;{'2021', '2022', '2023', '2024'};{2, 13, 12, 4};{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 321, 213, 130, 24}
37;6.0;2018ApJ...860...92L;{'2018', '2019', '2020', '2021', '2022', '2023', '2024'};{1, 12, 8, 13, 10, 8, 4};{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 252, 280, 236, 189, 148, 118, 14}
38;6.0;2013A&A...549A..87H;{'2013', '2014', '2015', '2016', '2017', '2018', '2019', '2020', '2021', '2022', '2023', '2024'};{9, 16, 22, 20, 26, 15, 19, 16, 15, 5, 9, 1};{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 204, 820, 584, 367, 209, 187, 164, 165, 146, 96, 59, 65, 16}
39;6.0;2021MNRAS.508.4844N;{'2021', '2022', '2023', '2024'};{1, 4, 6, 2};{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 154, 182, 126, 16}
40;6.0;2016MNRAS.463.2513B;{'2017', '2018', '2019', '2020', '2021', '2022', '2023', '2024'};{9, 11, 11, 12, 12, 12, 8, 3};{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 251, 280, 164, 137, 232, 97, 83, 141, 16}
41;6.0;2022RASTI...1....3L;{'2023', '2024'};{2, 3};{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 159, 138, 23}
42;6.0;2023arXiv230413070S;{'2024'};{0};{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 137, 10}
43;6.0;2022ApJ...939...40L;{'2023', '2024'};{3, 3};{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 106, 107, 15}
44;6.0;2021MNRAS.503.3643B;{'2021', '2022', '2023', '2024'};{7, 13, 6, 1};{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 354, 141, 122, 11}
45;6.0;2021ApJ...923...60V;{'2022', '2023', '2024'};{3, 2, 1};{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 133, 227, 99, 10}
46;6.0;2022MNRAS.512.3436E;{'2022', '2023', '2024'};{5, 4, 3};{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 245, 97, 12}
47;6.0;2020MNRAS.494.1622E;{'2020', '2021', '2022', '2023', '2024'};{2, 10, 15, 4, 5};{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 251, 179, 138, 107, 11}
48;6.0;2021RMxAA..57....3S;{'2021', '2022', '2023', '2024'};{12, 14, 12, 3};{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 265, 240, 143, 95, 9}
49;6.0;2022ApJ...929...47A;{'2022', '2023', '2024'};{2, 3, 3};{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 209, 74, 5}
50;6.0;2017MNRAS.469.2121S;{'2017', '2018', '2019', '2020', '2021', '2022', '2023', '2024'};{3, 12, 31, 22, 10, 13, 7, 8};{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 395, 312, 212, 142, 122, 66, 85, 12}
51;6.0;2015A&A...582A..21B;{'2015', '2016', '2017', '2018', '2019', '2020', '2021', '2022', '2023', '2024'};{2, 8, 8, 8, 11, 12, 15, 12, 11, 1};{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 201, 204, 113, 111, 143, 112, 129, 72, 90, 5}
52;6.0;2019ApJ...881..119P;{'2020', '2021', '2022', '2023', '2024'};{6, 8, 12, 10, 1};{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 114, 253, 175, 124, 103, 16}
53;6.0;2019A&A...632A..59F;{'2020', '2021', '2022', '2023', '2024'};{13, 12, 7, 4, 2};{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 171, 289, 127, 103, 101, 17}
54;6.0;2021MNRAS.503.1615S;{'2021', '2022', '2023', '2024'};{8, 12, 10, 2};{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 348, 159, 84, 16}
55;6.0;2015A&A...576A.102A;{'2015', '2016', '2017', '2018', '2019', '2020', '2021', '2022', '2023', '2024'};{3, 10, 7, 9, 16, 10, 7, 8, 9, 4};{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 292, 168, 120, 147, 124, 78, 74, 77, 90, 13}
56;6.0;2018ApJ...868..132P;{'2019', '2020', '2021', '2022', '2023', '2024'};{7, 8, 4, 14, 10, 3};{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 139, 334, 209, 123, 96, 97, 11}
57;6.0;2020ApJ...900..109A;{'2020', '2021', '2022', '2023', '2024'};{1, 4, 9, 6, 1};{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 330, 252, 155, 80, 10}
58;6.0;2018MNRAS.480.2544R;{'2019', '2020', '2021', '2022', '2023', '2024'};{10, 6, 5, 7, 4, 2};{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 286, 261, 156, 123, 104, 104, 18}
59;6.0;2018ApJ...852...74B;{'2018', '2019', '2020', '2021', '2022', '2023', '2024'};{4, 14, 13, 10, 11, 7, 3};{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 62, 230, 188, 191, 98, 73, 78, 21}
60;6.0;2019MNRAS.484.3042S;{'2019', '2020', '2021', '2022', '2023', '2024'};{6, 20, 18, 18, 5, 4};{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 343, 169, 115, 77, 78, 16}
61;6.0;2022ApJS..261...20M;{'2022', '2023', '2024'};{3, 2, 0};{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 72, 167, 64, 7}
62;6.0;2017ApJ...844...80B;{'2017', '2018', '2019', '2020', '2021', '2022', '2023', '2024'};{1, 8, 19, 10, 7, 9, 4, 5};{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 188, 141, 133, 170, 87, 59, 62, 16}
